,TimeStamp,Amount,N/P
0,1981-02-06 03:17:55.569725,445,Mehak
1,1982-07-16 06:54:18.943961,919,Jaden
2,1983-06-01 12:15:15.885328,-319,FUNDING
3,1984-10-05 02:39:15.840334,-152,SUPPLIES
4,1987-05-13 10:37:03.260138,-3,MAINTENANCE
5,1989-12-04 04:52:48.507413,288,Liam
6,1990-02-22 21:21:38.236566,-770,MAINTENANCE
7,1990-03-09 03:05:21.639988,-384,MAINTENANCE
8,1991-01-15 14:34:22.340898,947,Nicoletta
9,1991-08-07 17:59:34.921054,862,Morgan
10,1992-02-11 14:33:15.172877,-605,MAINTENANCE
11,1992-12-07 06:43:22.758995,312,Jaden
12,1993-09-16 21:42:52.197281,-1184,SUPPLIES
13,1994-06-13 09:31:04.384928,650,Liam
14,1995-07-25 10:46:31.315710,701,Emma
15,1996-04-19 13:59:27.162390,110,Nicoletta
16,1998-06-25 21:00:19.845590,876,Mehak
17,1999-03-24 11:10:42.438331,-300,FUNDING
18,1999-08-04 06:54:26.064752,-2170,SUPPLIES
19,2000-03-08 11:54:17.432550,-94,SUPPLIES
20,2000-05-15 14:22:10.909816,-124,SUPPLIES
21,2001-05-14 19:19:07.282204,934,Mehak
22,2001-08-16 15:20:34.520341,-553,FUNDING
23,2001-10-27 03:50:35.236071,-112,MAINTENANCE
24,2001-12-29 02:54:57.040658,-17,SUPPLIES
25,2002-05-08 02:51:47.054208,331,Mehak
26,2003-03-11 10:27:25.523511,483,Nicoletta
27,2003-07-28 03:55:56.534702,-449,FUNDING
28,2004-02-08 02:42:31.887248,117,Mehak
29,2004-11-15 16:05:09.224119,963,Nicoletta
30,2005-10-09 13:50:44.753876,-1477,SUPPLIES
31,2006-05-12 00:54:19.243983,-66,FUNDING
32,2007-02-25 12:32:00.578089,615,Emma
33,2007-09-12 05:46:07.414242,-708,MAINTENANCE
34,2008-07-02 06:34:44.331188,-39,SUPPLIES
35,2008-08-28 05:07:54.437173,330,Mehak
36,2008-09-11 14:05:00.946541,-44,MAINTENANCE
37,2009-05-05 14:36:45.235501,-87,FUNDING
38,2010-01-03 01:03:26.904142,905,Liam
39,2010-08-23 04:30:24.431068,558,Morgan
40,2011-04-28 15:04:49.375133,442,Nicoletta
41,2012-09-12 09:02:38.583083,317,Emma
42,2013-01-10 12:51:10.217276,-1953,FUNDING
43,2013-01-30 21:28:10.535216,-5,MAINTENANCE
44,2013-09-24 12:13:22.376820,-247,SUPPLIES
45,2015-06-21 00:46:26.083355,-177,MAINTENANCE
46,2015-06-29 09:06:30.247334,105,Anthony
47,2017-08-05 21:44:51.384072,-80,MAINTENANCE
48,2018-05-07 22:33:26.074749,464,Nicoletta
49,2019-02-01 10:04:52.558773,-337,SUPPLIES
