,TimeStamp,Amount,N/P
0,1980-02-14 23:10:30.881318,612,Mehak
1,1980-04-19 01:14:11.673924,54,Emma
2,1980-06-28 22:46:13.472887,-18,FUNDING
3,1980-08-14 06:40:29.043088,-289,FUNDING
4,1980-10-22 03:12:40.942170,-124,MAINTENANCE
5,1980-10-30 19:47:47.229021,-96,SUPPLIES
6,1980-12-25 23:34:42.672789,716,Nicoletta
7,1980-12-29 16:14:44.803469,-266,MAINTENANCE
8,1980-12-29 22:04:11.696007,-339,FUNDING
9,1981-02-22 13:18:26.342245,695,Liam
10,1981-05-24 05:26:01.192726,-413,FUNDING
11,1981-08-16 01:55:32.359567,533,Joey
12,1981-09-14 13:54:45.910962,-495,FUNDING
13,1981-11-01 19:10:14.864258,-534,SUPPLIES
14,1981-11-03 17:45:44.148300,640,Liam
15,1982-03-02 01:10:50.527649,92,Anthony
16,1982-03-18 19:57:27.957924,-555,FUNDING
17,1982-06-11 03:24:49.433410,10,Nicoletta
18,1982-08-08 23:55:26.325192,526,Liam
19,1982-09-11 09:05:24.587727,99,Anthony
20,1982-10-24 14:53:52.389114,814,Mehak
21,1982-12-14 07:43:09.057671,817,Liam
22,1982-12-31 14:12:17.269243,-782,FUNDING
23,1983-08-13 09:29:41.934206,891,Anthony
24,1983-10-06 14:05:44.917755,993,Morgan
25,1983-10-30 22:03:59.707791,-17,MAINTENANCE
26,1983-12-22 18:51:52.084265,130,Nicoletta
27,1984-07-20 03:42:32.254180,-2555,FUNDING
28,1984-11-05 19:40:57.691244,279,Joey
29,1984-12-18 22:11:15.928855,-385,FUNDING
30,1984-12-28 09:42:56.874537,-974,FUNDING
31,1985-01-25 18:42:34.639826,586,Liam
32,1985-02-24 13:21:23.858712,494,Morgan
33,1985-04-27 08:28:12.301315,-930,FUNDING
34,1985-05-31 22:21:29.374250,695,Nicoletta
35,1985-06-01 11:34:22.307980,982,Emma
36,1985-08-28 20:09:26.034955,594,Joey
37,1985-10-29 04:44:36.629036,-2398,FUNDING
38,1985-11-21 17:09:02.403834,796,Jaden
39,1985-12-13 15:04:26.177125,-559,MAINTENANCE
40,1986-02-10 00:30:51.199479,289,Morgan
41,1986-04-24 10:53:31.394663,819,Mehak
42,1986-04-26 03:18:24.769980,-836,MAINTENANCE
43,1986-05-12 11:07:21.415178,-575,MAINTENANCE
44,1986-05-20 00:58:52.042114,-13,SUPPLIES
45,1986-08-03 03:42:29.264901,970,Mehak
46,1986-10-09 16:54:57.499503,-835,FUNDING
47,1986-11-27 11:52:51.344803,-31,FUNDING
48,1987-02-28 21:53:25.470479,58,Anthony
49,1987-03-03 05:58:12.899696,-137,FUNDING
50,1987-04-11 22:00:10.235945,843,Mehak
51,1987-08-21 12:44:48.101670,-777,MAINTENANCE
52,1987-08-23 09:05:09.797332,864,Mehak
53,1987-08-25 23:32:06.778610,-752,MAINTENANCE
54,1987-11-09 22:39:54.522553,-14,FUNDING
55,1987-12-13 01:14:27.346987,332,Morgan
56,1988-03-01 16:58:39.267316,473,Joey
57,1988-03-05 21:45:54.132844,-471,MAINTENANCE
58,1988-03-21 01:31:59.074464,-431,MAINTENANCE
59,1988-04-23 18:52:32.671109,-28,SUPPLIES
60,1988-06-28 03:59:24.457516,-18,FUNDING
61,1988-09-12 19:52:49.216356,45,Morgan
62,1988-11-07 04:25:13.165672,-79,MAINTENANCE
63,1989-04-04 10:23:29.588705,71,Joey
64,1989-10-26 08:20:08.466008,406,Liam
65,1989-11-17 08:47:37.189407,985,Liam
66,1989-12-06 22:06:52.019304,-445,MAINTENANCE
67,1990-02-23 08:38:41.819237,607,Nicoletta
68,1990-03-06 03:18:07.506881,-1465,FUNDING
69,1990-03-31 10:40:22.961892,775,Anthony
70,1990-04-15 15:03:21.148252,-946,MAINTENANCE
71,1990-04-28 10:42:24.506608,0,MAINTENANCE
72,1990-05-19 11:34:48.895594,375,Anthony
73,1990-05-20 06:37:22.035534,-45,SUPPLIES
74,1990-06-05 15:51:34.761563,-115,SUPPLIES
75,1990-11-10 17:23:26.410975,-199,MAINTENANCE
76,1990-12-26 03:35:35.573628,471,Emma
77,1991-01-05 07:41:05.876980,-107,FUNDING
78,1991-02-28 21:25:14.721809,629,Jaden
79,1991-03-08 14:35:46.259240,839,Emma
80,1991-07-18 19:07:27.869568,-1752,FUNDING
81,1991-07-27 16:47:30.805369,233,Jaden
82,1991-08-07 09:42:12.605813,-297,SUPPLIES
83,1991-08-26 07:28:30.975542,-17,MAINTENANCE
84,1991-09-22 09:30:10.437912,723,Mehak
85,1992-05-10 06:25:14.809660,872,Joey
86,1992-06-22 13:44:15.626860,-1321,MAINTENANCE
